workerid,proliferate.condition,scenario_order,error
649,intentional,mirror,
649,intentional,bike,
661,intentional,mirror,
661,intentional,bike,
668,intentional,bike,
668,intentional,mirror,
656,intentional,bike,
656,intentional,mirror,
666,intentional,mirror,
666,intentional,bike,
647,intentional,bike,
647,intentional,mirror,
653,intentional,bike,
653,intentional,mirror,
660,intentional,bike,
660,intentional,mirror,
652,intentional,mirror,
652,intentional,bike,
659,intentional,mirror,
659,intentional,bike,
657,intentional,mirror,
657,intentional,bike,
667,intentional,mirror,
667,intentional,bike,
665,intentional,bike,
665,intentional,mirror,
651,intentional,mirror,
651,intentional,bike,
664,intentional,mirror,
664,intentional,bike,
655,intentional,bike,
655,intentional,mirror,
658,intentional,bike,
658,intentional,mirror,
663,intentional,bike,
663,intentional,mirror,
650,intentional,bike,
650,intentional,mirror,
648,intentional,bike,
648,intentional,mirror,
