workerid,proliferate.condition,condition,error
649,intentional,intentional,
661,intentional,intentional,
668,intentional,intentional,
656,intentional,intentional,
666,intentional,intentional,
647,intentional,intentional,
653,intentional,intentional,
660,intentional,intentional,
652,intentional,intentional,
659,intentional,intentional,
657,intentional,intentional,
667,intentional,intentional,
665,intentional,intentional,
651,intentional,intentional,
664,intentional,intentional,
655,intentional,intentional,
658,intentional,intentional,
663,intentional,intentional,
650,intentional,intentional,
648,intentional,intentional,
