workerid,proliferate.condition,age,ethnicity,gender,race,error
649,intentional,47,Non-Hispanic,Male,White,
661,intentional,35,Non-Hispanic,Male,White,
668,intentional,64,Non-Hispanic,Female,White,
656,intentional,28,Hispanic,Female,White,
666,intentional,45,Non-Hispanic,Female,White,
647,intentional,34,Non-Hispanic,Male,White,
653,intentional,70,Non-Hispanic,Female,White,
660,intentional,33,Non-Hispanic,Male,White,
652,intentional,46,Non-Hispanic,Female,other_race,
659,intentional,25,Non-Hispanic,Male,Black/African American,
657,intentional,44,Non-Hispanic,Female,White,
667,intentional,48,Non-Hispanic,Female,White,
665,intentional,66,Non-Hispanic,Female,Black/African American,
651,intentional,33,Non-Hispanic,Male,Asian,
664,intentional,69,Non-Hispanic,Female,White,
655,intentional,44,Non-Hispanic,Female,White,
658,intentional,53,Non-Hispanic,Female,White,
663,intentional,62,Non-Hispanic,Male,Asian,
650,intentional,77,Non-Hispanic,Male,White,
648,intentional,48,Non-Hispanic,Female,White,
