workerid,proliferate.condition,age,ethnicity,gender,race,error
684,mental,54,Non-Hispanic,Female,White,
670,mental,46,Non-Hispanic,Female,White,
675,mental,21,Non-Hispanic,Male,Asian,
678,mental,55,,Male,White,
673,mental,44,Non-Hispanic,Male,Black/African American,
676,mental,32,Non-Hispanic,Male,White,
681,mental,29,Non-Hispanic,Female,Black/African American,
688,mental,19,Non-Hispanic,Male,Black/African American,
689,mental,18,Non-Hispanic,Male,Asian,
672,mental,23,Non-Hispanic,Male,Black/African American,
674,mental,20,,,,
685,mental,37,,Female,White,
682,mental,46,Non-Hispanic,Male,Asian,
690,mental,25,Hispanic,Female,other_race,
683,mental,26,Non-Hispanic,Male,White,
669,mental,32,Non-Hispanic,Male,White,
671,mental,41,Non-Hispanic,Male,Asian,
686,mental,33,Non-Hispanic,Female,White,
687,mental,29,Non-Hispanic,Male,White,
677,mental,24,Non-Hispanic,Male,White,
