workerid,proliferate.condition,question_order,error
684,mental,lexical,
684,mental,cause,
670,mental,lexical,
670,mental,cause,
675,mental,lexical,
675,mental,cause,
678,mental,lexical,
678,mental,cause,
673,mental,cause,
673,mental,lexical,
676,mental,cause,
676,mental,lexical,
681,mental,cause,
681,mental,lexical,
688,mental,cause,
688,mental,lexical,
689,mental,lexical,
689,mental,cause,
672,mental,lexical,
672,mental,cause,
674,mental,cause,
674,mental,lexical,
685,mental,cause,
685,mental,lexical,
682,mental,lexical,
682,mental,cause,
690,mental,lexical,
690,mental,cause,
683,mental,cause,
683,mental,lexical,
669,mental,cause,
669,mental,lexical,
671,mental,cause,
671,mental,lexical,
686,mental,lexical,
686,mental,cause,
687,mental,cause,
687,mental,lexical,
677,mental,lexical,
677,mental,cause,
