workerid,proliferate.condition,hurt_cause,hurt_lexical,shock_cause,shock_lexical,error
684,mental,distal,distal,distal,distal,
670,mental,distal,distal,distal,distal,
675,mental,distal,distal,distal,proximal,
678,mental,distal,distal,distal,proximal,
673,mental,distal,distal,distal,distal,
676,mental,distal,distal,proximal,distal,
681,mental,distal,distal,proximal,distal,
688,mental,distal,distal,distal,distal,
689,mental,proximal,distal,proximal,distal,
672,mental,distal,distal,distal,distal,
674,mental,distal,distal,proximal,distal,
685,mental,distal,distal,distal,distal,
682,mental,distal,distal,distal,distal,
690,mental,distal,distal,proximal,distal,
683,mental,distal,distal,distal,distal,
669,mental,distal,distal,distal,distal,
671,mental,distal,distal,distal,distal,
686,mental,distal,proximal,proximal,proximal,
687,mental,distal,distal,distal,distal,
677,mental,distal,distal,distal,distal,
