workerid,proliferate.condition,scenario_order,error
684,mental,hurt,
684,mental,shock,
670,mental,hurt,
670,mental,shock,
675,mental,hurt,
675,mental,shock,
678,mental,shock,
678,mental,hurt,
673,mental,hurt,
673,mental,shock,
676,mental,hurt,
676,mental,shock,
681,mental,hurt,
681,mental,shock,
688,mental,shock,
688,mental,hurt,
689,mental,shock,
689,mental,hurt,
672,mental,hurt,
672,mental,shock,
674,mental,shock,
674,mental,hurt,
685,mental,hurt,
685,mental,shock,
682,mental,hurt,
682,mental,shock,
690,mental,hurt,
690,mental,shock,
683,mental,shock,
683,mental,hurt,
669,mental,hurt,
669,mental,shock,
671,mental,hurt,
671,mental,shock,
686,mental,shock,
686,mental,hurt,
687,mental,shock,
687,mental,hurt,
677,mental,hurt,
677,mental,shock,
