workerid,proliferate.condition,age,ethnicity,gender,race,error
708,all,30,Non-Hispanic,Female,White,
696,all,34,Non-Hispanic,Male,other_race,
691,all,45,Non-Hispanic,Female,White,
703,all,29,Non-Hispanic,Male,White,
700,all,29,Non-Hispanic,Female,White,
704,all,38,Non-Hispanic,Male,Asian,
709,all,41,Non-Hispanic,Male,White,
701,all,51,Non-Hispanic,Male,White,
699,all,35,Non-Hispanic,Male,Asian,
694,all,36,Non-Hispanic,Male,White,
693,all,38,Non-Hispanic,Male,White,
710,all,29,Non-Hispanic,Non-binary,White,
711,all,23,Hispanic,Male,White,
702,all,48,Non-Hispanic,Female,White,
698,all,35,Non-Hispanic,Male,White,
692,all,19,Non-Hispanic,Male,Asian,
695,all,74,Non-Hispanic,Female,White,
707,all,39,Non-Hispanic,Male,White,
705,all,38,Non-Hispanic,Male,White,
712,all,38,Non-Hispanic,Female,other_race,
706,all,27,Non-Hispanic,Non-binary,other_race,
