workerid,proliferate.condition,question_order,error
708,all,lexical,
708,all,cause,
696,all,lexical,
696,all,cause,
691,all,lexical,
691,all,cause,
703,all,cause,
703,all,lexical,
700,all,lexical,
700,all,cause,
704,all,cause,
704,all,lexical,
709,all,lexical,
709,all,cause,
701,all,cause,
701,all,lexical,
699,all,lexical,
699,all,cause,
694,all,lexical,
694,all,cause,
693,all,lexical,
693,all,cause,
710,all,cause,
710,all,lexical,
711,all,cause,
711,all,lexical,
702,all,lexical,
702,all,cause,
698,all,cause,
698,all,lexical,
692,all,cause,
692,all,lexical,
695,all,lexical,
695,all,cause,
707,all,cause,
707,all,lexical,
705,all,lexical,
705,all,cause,
712,all,lexical,
712,all,cause,
706,all,cause,
706,all,lexical,
