workerid,proliferate.condition,excited_cause,excited_lexical,scared_cause,scared_lexical,error
708,all,distal,distal,distal,distal,
696,all,distal,proximal,distal,proximal,
691,all,distal,proximal,distal,proximal,
703,all,proximal,proximal,proximal,distal,
700,all,distal,proximal,distal,proximal,
704,all,distal,proximal,distal,proximal,
709,all,distal,proximal,distal,proximal,
701,all,proximal,proximal,proximal,proximal,
699,all,distal,proximal,distal,proximal,
694,all,distal,proximal,distal,proximal,
693,all,proximal,proximal,proximal,distal,
710,all,proximal,proximal,proximal,proximal,
711,all,proximal,proximal,proximal,distal,
702,all,proximal,proximal,proximal,proximal,
698,all,proximal,proximal,proximal,proximal,
692,all,proximal,proximal,distal,proximal,
695,all,distal,proximal,distal,proximal,
707,all,distal,proximal,proximal,proximal,
705,all,proximal,proximal,proximal,proximal,
712,all,distal,proximal,distal,proximal,
706,all,distal,proximal,distal,proximal,
