workerid,proliferate.condition,scenario_order,error
708,all,scared,
708,all,excited,
696,all,scared,
696,all,excited,
691,all,excited,
691,all,scared,
703,all,excited,
703,all,scared,
700,all,scared,
700,all,excited,
704,all,scared,
704,all,excited,
709,all,scared,
709,all,excited,
701,all,excited,
701,all,scared,
699,all,excited,
699,all,scared,
694,all,excited,
694,all,scared,
693,all,scared,
693,all,excited,
710,all,scared,
710,all,excited,
711,all,scared,
711,all,excited,
702,all,excited,
702,all,scared,
698,all,scared,
698,all,excited,
692,all,scared,
692,all,excited,
695,all,excited,
695,all,scared,
707,all,scared,
707,all,excited,
705,all,excited,
705,all,scared,
712,all,excited,
712,all,scared,
706,all,scared,
706,all,excited,
